"","�..Movie.Name","Release.Date","Opening.Day","Opening.Weekend","End.of.Week.1","Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.","�..imdbId","Column1","releaseYear","releaseDate","genre","writers","actors","directors","sequel","FirstWeekIMDBRating"
"339","Khiladi 786","07-Dec-12","10.4","34.3","52.55","70","tt2166214","#N/A",2012,"07-Dec-12","Action | Comedy","Kushal Bakshi (screenplay) | Bunty Rathore (dialogue) | Himesh Reshammiya (story)","Akshay Kumar | Asin | Raj Babbar | Vipin Bakshi","Ashish R. Mohan","0",4
"340","Khoobsurat","19-Sep-14","2.74","11.53","19.11","24.75","tt3554418","#N/A",2014,"19-Sep-14","Comedy | Romance","D.N. Mukherjee (original story) | Indira Bisht (screenplay) | Juhi Chaturvedi (dialogue)","Ashok Banthia | Rishabh Chaddha | Badrul Islam | Simran Jehani","Shashanka Ghosh","0",3
"341","Khuda Kasam","26-11-2010","0N.A","0.36","0.57","1.51","tt1920986","#N/A",2010,"26-Nov-10","Action | Crime | Drama","K.C. Bokadia (dialogue) | K.C. Bokadia","Beena Banerjee | Sunny Deol | Farida Jalal | Raza Murad","K.C. Bokadia","0",1
"342","Khushi","07-02-2003","0.74","2.18","3.76","9.03","tt0348656","#N/A",2003,"07-Feb-03","Action | Drama | Romance","Aman Jaffery (dialogue) | Bolu Khan (dialogue) | Surya S.J. (story)","Fardeen Khan | Kareena Kapoor | Amrish Puri | Amitabh Bachchan","Surya S.J. | Sunil Kumar Agrawal","0",2
"343","Khwaabb","09-May-14","0.2","0N.A","0.75","0.75","tt2429930","#N/A",2014,"09-May-14","Drama | Romance | Sport","Moraad Ali Khan (story) | Arnab Mukherjee","Nafisa Ali | Simer Motiani | Bajrangbali Singh | Navdip Singh","Zaid Ali Khan","0",1
"344","Khwahish","06-06-2003","0.35","1.03","1.7","3.34","tt0349679","#N/A",2003,"06-Jun-03","Drama | Romance | Musical","Govind Menon (screenplay) | Shashi Wadia (dialogue)","Himanshu Malik | Mallika Sherawat | Shivaji Satam | Mahmud Babai","Govind Menon","0",4
"345","Kick","25-Jul-14","26.4","83.83","164.09","231.85","tt2372222","#N/A",2014,"25-Jul-14","Action | Comedy | Romance","Vakkantham Vamsi (story) | Rajat Arora (screenplay) | Keith Gomes (screenplay) | Sajid Nadiadwala (screenplay) | Chetan Bhagat (additional screenplay) | Rajat Arora (dialogue)","Salman Khan | Jacqueline Fernandez | Nawazuddin Siddiqui | Randeep Hooda","Sajid Nadiadwala","0",8
"346","Kidnap","02-Oct-08","4.88","9.89","15.84","20.5","tt1034449","#N/A",2008,"02-Oct-08","Crime | Drama | Thriller","Vijayvargiya Anshul (additional dialogue) | Yatharth Awasthi (additional dialogue) | Shibani Bathija (story) | Shibani Bathija | Sanjay Gadhvi (dialogue) | Mayur Puri (lyrics) | Sandeep Vyas (lyrics) | Sanjeev Vyas (lyrics)","Sanjay Dutt | Imran Khan | Minissha Lamba | Vidya Malvade","Sanjay Gadhvi","0",2
"347","Kill Dil","14-Nov-14","6.53","20.18","29.28","33.14","tt3380264","#N/A",2014,"14-Nov-14","Action | Crime | Drama","Nitesh Tiwari (screenplay) | Shreyas Jain (screenplay) | Nikhil Mehrotra (screenplay)","Ranveer Singh | Ali Zafar | Parineeti Chopra | Govinda","Shaad Ali","0",2
"348","Kismat Konnection","18-Jul-08","3.41","11.45","16.81","22.77","tt1105733","#N/A",2008,"18-Jul-08","Comedy | Drama | Romance","Sanjay Chhel | Sai Kabir (screenplay) | Ashish Kariya (dialogue) | Rahila Mirza (story) | Vibha Singh (screenplay)","Shahid Kapoor | Vidya Balan | Vishal Malhotra | Om Puri","Aziz Mirza","0",2
"349","Kismet Love Paisa Dilli","05-Oct-12","N.A.","N.A.","3.74","3.8","tt2402131","#N/A",2012,"05-Oct-12","Adventure | Comedy | Crime","Sanjay M Khanduri | Sanjay M Khanduri | Rishabh Sharma (dialogue)","Vivek Oberoi | Mallika Sherawat | Neha Dhupia | Anshuman Jha","Sanjay M. Khanduri","0",1
"350","Kites","21-05-2010","10.4","30.5","40.9","49.27","tt1198101","#N/A",2010,"21-May-10","Action | Drama | Romance","Anurag Basu (screenplay) | Robin Bhatt (screenplay) | Sanjeev Dutta (dialogue) | Akarsh Khurana (additional English dialogue) | Akarsh Khurana (screenplay) | Rakesh Roshan (story)","Hrithik Roshan | BÃ¡rbara Mori | Steven Michael Quezada | Kangana Ranaut","Anurag Basu","0",2
"351","Knock Out","15-10-2010","N.A.","3.91","6.28","7.17","tt1558578","#N/A",2010,"15-Oct-10","Action | Crime | Drama","Shiraz Ahmed (dialogue) | Vishal Dadlani (lyrics) | Panchhi Jalonvi (lyrics) | Mani Shankar (story) | Shellee (lyrics)","Sanjay Dutt | Irrfan Khan | Kangana Ranaut | Gulshan Grover","Mani Shankar","0",1
"352","Koi Mere Dil Se Poochhe","11-Jan-02","0.55","1.5","2.4","3.8","tt0306840","#N/A",2002,"11-Jan-02","Musical | Romance | Thriller","N/A","Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque","Vinay Shukla","0",2
"353","Koyelaanchal","09-May-14","0.45","1.42","2.15","2.25","tt3640942","#N/A",2014,"09-May-14","Action | Drama","Vishal Vijay Kumar | Sanjay Masoom","Kannan Arunachalam | Vinod Khanna | Roopali Krishnarao | Sunil Shetty","Ashu Trikha","0",1
"354","Kranti","15-Mar-02","0.82","2.31","3.78","6.19","tt0311411","#N/A",2002,"27-Mar-02","Drama","Sanjay Masoom (dialogue)","Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri","Naresh Malhotra","0",2
"355","Krazzy 4","11-Apr-08","2.73","8.96","13.59","19.59","tt1182908","#N/A",2008,"11-Apr-08","Action | Comedy | Crime","Ashwani Dhir (screenplay) | Rakesh Roshan (story)","Juhi Chawla | Irrfan Khan | Arshad Warsi | Rajpal Yadav","Jaideep Sen","0",4
"356","Krishna Aur Kans","03-Aug-12","N.A.","N.A.","0.5","0.86","tt2321492","#N/A",2012,"03-Aug-12","Animation | Action | Adventure","Kamlesh Pandey (screenplay) | Dhrubo Banerjee (story) | Bhaskar Mani (story)","Manoj Bajpayee | Harish Bhimani | Neetu Chaudhary | Juhi Chawla","Vikram Veturi","0",1
"357","Krrish","23-Jun-06","6","17.34","29.3","72.16","tt0432637","#N/A",2006,"23-Jun-06","Action | Adventure | Romance","Robin Bhatt (screenplay) | Sachin Bhowmick (screenplay) | Honey Irani (screenplay) | Akarsh Khurana (screenplay) | Sanjay Masoom (dialogue) | Rakesh Roshan (screenplay)","Rekha | Hrithik Roshan | Priyanka Chopra | Sharat Saxena","Rakesh Roshan","1",8
"358","Krrish 3","01-Nov-13","25.5","72.8","166.52","244.92","tt1029231","#N/A",2013,"01-Nov-13","Action | Sci-Fi","Rakesh Roshan (story) | Robin Bhatt (screenplay) | Honey Irani (screenplay) | Irfan Kamal (screenplay) | Akarsh Khurana (screenplay) | Rakesh Roshan (screenplay) | Sanjay Masoom (dialogue) | David Benullo (story)","Hrithik Roshan | Amitabh Bachchan | Priyanka Chopra | Naseeruddin Shah","Rakesh Roshan","1",8
"359","Kucch Luv Jaisaa","27-05-2011","N.A.","N.A.","2.38","2.92","tt1942905","#N/A",2011,"27-May-11","Crime | Drama | Thriller","Shukla Barnali Ray","Shefali Shetty | Om Puri | Rahul Bose | Neetu Chandra","Shukla Barnali Ray","0",1
"360","Kucch To Hai","24-01-2003","0.7","2.06","3.57","6.78","tt0348662","#N/A",2003,"24-Jan-03","Drama | Horror | Mystery","Rajeev Jhaveri (story) | Anurag Prapanna (dialogue) | Umesh Shukla (dialogue)","Ashay Chitre | Esha Deol | Anita Hassandani | Vrajesh Hirjee","Anurag Basu | Anil V. Kumar","0",2
"361","Kuch Khatti Kuch Meethi","19-Jan-01","0.35","1.1","2.05","5.04","tt0271604","#N/A",2001,"19-Jan-01","Drama | Family","N/A","Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty","Rahul Rawail","0",2
"362","Kuch Naa Kaho","05-09-2003","0.71","2.22","3.7","6.46","tt0369637","#N/A",2003,"26-Aug-03","Drama | Romance","Rohena Gera (story) | Naushil Mehta (dialogue) | Nidhi Tuli (dialogue) | Neeraj Vora (screenplay)","Aishwarya Rai Bachchan | Abhishek Bachchan | Satish Shah | Suhasini Mulay","Rohan Sippy","0",2
"363","Kuku Mathur Ki Jhand Ho Gayi","30-May-14","0.33","1.32","2.07","2.15","tt2998196","#N/A",2014,"30-May-14","Comedy | Romance","N/A","Siddharth Gupta | Simran Kaur Mundi | Pallavi Batra | Roopa Ganguly","Aman Sachdeva","0",1
"364","Kurbaan","20-11-2009","0N.A","11.43","17.34","27.09","tt1185442","#N/A",2009,"20-Nov-09","Action | Crime | Drama","Renzil D'Silva (screenplay) | Niranjan Iyengar (dialogues) | Karan Johar (story) | Anurag Kashyap (dialogues) | Irfan Siddiqui (lyrics)","Kareena Kapoor | Saif Ali Khan | Om Puri | Vivek Oberoi","Renzil D'Silva","0",2
"365","Kushti","14-05-2010","N.A.","N.A.","N.A.","0.43","tt1673411","#N/A",2010,"14-May-10","Comedy","Manisha Korde (dialogues) | Rajeev Kumar (screenplay) | Sameer (lyrics)","Rajpal Yadav | Nargis Bagheri | Om Puri | Sharat Saxena","Rajeev Kumar","0",1
"366","Kya Dilli Kya Lahore","02-May-14","0.08","0.22","0.69","0.69","tt2063745","#N/A",2014,"02-May-14","Drama | History | War","Aseem Arora (story) | Manu Rishi Chadha (dialogue) | Manu Rishi Chadha | Gulzar (lyrics) | Pratham Jolly | Sandeep Sinha (additional screenplay)","Vijay Raaz | Manu Rishi Chadha | Rajendranath Zutshi | Vishwajeet Pradhan","Vijay Raaz | Karan Arora","0",1
"367","Kya Love Story Hai","20-Apr-07","0.6","1.89","2.59","2.9","tt0887753","#N/A",2007,"20-Apr-07","Comedy | Drama | Romance","Niranjan Iyengar (dialogue) | Master Rinku (screenplay) | Master Rinku (story)","Tusshar Kapoor | Ayesha Takia | Karan Hukka | Rahul Singh","Lovely Singh","0",1
"368","Kya Yahi Sach Hai","30-12-2011","0N.A","0N.A","0.19","0.2","tt1630590","#N/A",2011,"30-Dec-11","Crime | Drama | Thriller","Y.P. Singh (story)","Gurpreet Chadha | Shalini Chandran | T.K. Chowdhary | Kishore Dhingra","Y.P. Singh","0",1
"369","Kya Yehi Pyaar Hai","22-Mar-02","0.6","1.8","3.12","7.58","tt0312883","#N/A",2002,"10-Apr-02","Comedy | Musical | Romance","Javed Siddiqui","Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma","K. Muralimohana Rao","0",4
"370","Kyaa Dil Ne Kahaa","28-Jun-02","0.7","1.96","3","4.24","tt0327005","#N/A",2002,"28-Jun-02","Family | Romance","N/A","Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar","Sanjay Chhel","0",2
"371","Kyaa Kool Hai Hum","06-05-2005","0.92","3.21","5.32","15.34","tt0456500","#N/A",2005,"06-May-05","Comedy | Mystery","Sachin Yardi (story) | Pankaj Trivedi (story)","Tusshar Kapoor | Ritesh Deshmukh | Isha Koppikar | Neha Dhupia","Sangeeth Sivan","0",6
"372","Kyaa Super Kool Hain Hum","27-Jul-12","7.12","23.06","35.5","45.14","tt2027138","#N/A",2012,"27-Jul-12","Comedy","Sukhmani Sadana (dialogue revisor) | Sachin Yardi","Anupam Kher | Ritesh Deshmukh | Rohit Shetty | Tusshar Kapoor","Sachin Yardi","1",5
"373","Lafangey Parindey","20-08-2010","0N.A","10.5","17.25","21.77","tt1606267","#N/A",2010,"20-Aug-10","Crime | Drama | Romance","Swanand Kirkire (lyrics) | Gopi Puthran (story)","Neil Nitin Mukesh | Deepika Padukone | Vijay Adhav | Manish Chaudhary","Pradeep Sarkar","0",3
"374","Lagaan: Once Upon a Time in India","15-Jun-01","1","3.14","6.63","34.31","tt0169102","#N/A",2001,"08-May-02","Adventure | Drama | Musical","Ashutosh Gowariker (story) | Ashutosh Gowariker (screenplay) | Kumar Dave (screenplay) | Sanjay Dayma (screenplay) | K.P. Saxena (dialogue)","Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne","Ashutosh Gowariker","0",6
"375","Lahore","19-03-2010","N.A.","N.A.","N.A.","1.05","tt1285245","#N/A",2010,"19-Mar-10","Action | Drama | Sport","Sanjay Puran Singh Chauhan (dialogue) | Sanjay Puran Singh Chauhan (screenplay) | Sanjay Puransingh Chauhan (story) | Panchhi Jalonvi (lyrics) | Hriday Lani (collaborating writer) | Piyush Mishra (dialogue) | Piyush Mishra (screenplay) | Junaid Wasi (lyrics)","Farooq Shaikh | Nafisa Ali | Aanaahad | Sabyasachi Chakraborty","Sanjay Puransingh Chauhan","0",1
"376","Lajja","31-Aug-01","1.34","3.92","7.16","15.87","tt0293342","#N/A",2001,"19-Sep-01","Drama | Musical | Crime","Ranjit Kapoor (dialogue) | Ashok Rawat (associate script) | Rajkumar Santoshi (dialogue) | Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story)","Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit","Rajkumar Santoshi","0",2
"377","Lakshmi","21-Mar-14","0N.A","0N.A","0.18","0.18","tt2976176","#N/A",2014,"21-Mar-14","Drama","Nagesh Kukunoor","Vibha Chhibber | Ram Kapoor | Satish Kaushik | Gulfam Khan","Nagesh Kukunoor","0",1
"378","Lanka","09-12-2011","N.A.","N.A.","0.51","0.52","tt2137064","#N/A",2011,"09-Dec-11","Action | Crime | Drama","Shashank Dabral (story) | Shashank Dabral","Manoj Bajpayee | Arjan Bajwa | Tia Bajpai | Yashpal Sharma","Maqbool Khan","0",1
"379","Le Gaya Saddam","02-Nov-12","N.A.","N.A.","0.05","0.06","tt3211088","#N/A",2012,"02-Nov-12","Comedy","N/A","Shahbaz Baweja | Umesh Gautam | Nandini Jumani | Ravindra Kale","Amjad Khan","0",1
"380","Lekar Hum Deewana Dil","04-Jul-14","0.5","1.6","2.4","2.49","tt3716142","#N/A",2014,"04-Jul-14","Comedy | Romance","Arif Ali","Armaan Jain | Deeksha Seth | Nikita Dutta | Rohini Hattangadi","Arif Ali","0",1
"381","Life Express","17-09-2010","N.A.","N.A.","N.A.","0.05","tt1745753","#N/A",2010,"17-Sep-10","Drama","Shakeel Azmi (lyrics) | Mandira Chakraborty (screenplay) | Anup Das (story) | Shailendra Tyagi (screenplay)","Rituparna Sengupta | Kiran Janjani | Yashpal Sharma | Alok Nath","Anup Das","0",1
"382","Life Ki Toh Lag Gayi","27-Apr-12","0N.A","0N.A","0.27","0.32","tt2327389","#N/A",2012,"20-Apr-12","Comedy","Rakesh Mehta","Kay Kay Menon | Ranvir Shorey | Pradhuman Singh | Neha Bhasin","Rakesh Mehta","0",1
"383","Login","12-Oct-12","N.A.","N.A.","0.1","0.04","tt2188805","#N/A",2012,"12-Oct-12","Drama | Thriller","Sanjeev Reddy (story)","Himanshu Bhatt | Roy Radhika | Akkash Basnet | Rashmi Gautam","Sanjeev Reddy","0",1
"384","London Dreams","30-10-2009","0N.A","14.6","23.36","28.96","tt0486615","#N/A",2009,"30-Oct-09","Musical","Ritesh Shah (dialogue) | Suresh Nair (story)","Salman Khan | Om Puri | Ajay Devgn | Dilyana Bouklieva","Vipul Amrutlal Shah","0",2
"385","London Paris New York","02-Mar-12","1.06","4.07","6.12","6.44","tt2064849","#N/A",2012,"02-Mar-12","Romance","Anu Menon (story) | Anu Menon (dialogue) | Ritu Bhatia (dialogue)","Ali Zafar | Aditi Rao Hydari | Candice Pereira | Scherrikar Bell","Anu Menon","0",2
"386","Loot","04-11-2011","N.A.","N.A.","3.12","3.42","tt0847180","#N/A",2011,"04-Nov-11","Action | Comedy | Crime","N/A","Shweta Bhardwaj | Mimoh Chakraborty | Prem Chopra | Sudhir S. Dayma","Rajnish Thakur","0",1
"387","Lootera","05-Jul-13","5.15","19","27.3","29","tt2224317","#N/A",2013,"05-Jul-13","Drama | Romance","Bhavani Iyer (screenplay) | Anurag Kashyap (dialogue) | Vikramaditya Motwane (screenplay)","Ranveer Singh | Sonakshi Sinha | Adil Hussain | Vikrant Massey","Vikramaditya Motwane","0",2
"388","Love Aaj Kal","31-07-2009","8.02","27.86","42.8","66.56","tt1275863","#N/A",2009,"31-Jul-09","Comedy | Drama | Romance","Imtiaz Ali","Saif Ali Khan | Deepika Padukone | Rishi Kapoor | Rahul Khanna","Imtiaz Ali","0",1
"389","Love Breakups Zindagi","07-10-2011","N.A.","N.A.","1.42","1.7","tt1877691","#N/A",2011,"07-Oct-11","Comedy | Drama | Romance","Sanyukta Shaikh Chawla (additional screenplay & dialogue) | Sanyukta Shaikh Chawla (screenplay) | Sahil Sangha","Zayed Khan | Dia Mirza | Cyrus Sahukar | Tisca Chopra","Sahil Sangha","0",1
"390","Love Express","10-06-2011","N.A.","N.A.","0.15","0.27","tt1964886","#N/A",2011,"10-Jun-11","Comedy | Drama","Kumaar (lyrics)","Sahil Mehta | Mannat Ravi | Vikas Katyal | Priyam Galav","Sunny Bhambhani","0",1
"391","Love Ke Liye Kuch Bhi Karega","29-Jun-01","0.57","1.67","2.9","5.57","tt0287537","#N/A",2001,"29-Jun-01","Comedy | Crime | Romance","Rajnish Thakur","Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre","Eeshwar Nivas","0",2
"392","Love Recipe","25-May-12","N.A.","N.A.","N.A.","0.15","tt2332705","#N/A",2012,"05-May-12","Comedy","Shyam Goel | M. Salim | Amol Shetge","Rani Agrawal | Frank M. Ahearn | Suzanne Bernert | Sudha Chandran","Amol Shetge","0",1
"393","Love Story 2050","04-Jul-08","2.03","6.72","9.73","11.01","tt0490170","#N/A",2008,"04-Jul-08","Action | Adventure | Drama","Harry Baweja (story) | Bhavani Iyer (additional screenplay) | Mayur Puri (dialogue) | Karan Razdan (additional screenplay) | Prem Soni (additional screenplay) | Suparn Verma (additional screenplay)","Harman Baweja | Priyanka Chopra | Boman Irani | Archana Puran Singh","Harry Baweja","0",1
"394","Luck","24-07-2009","3.71","11.18","16.49","21.03","tt1242782","#N/A",2009,"31-Jul-09","Action | Adventure | Drama","Renzil D'Silva (screenplay) | Soham Shah (dialogue) | Soham Shah (screenplay) | Soham Shah (story)","Mithun Chakraborty | Sanjay Dutt | Imran Khan | Ravi Kishan","Soham Shah","0",2
"395","Lucky Kabootar","18-Apr-14","N.A.","N.A.","0.22","0.27","tt2612924","#N/A",2014,"18-Apr-14","Comedy","Shammi Chhabra | Shyam Goel","Shradha Das | Eijaz Khan | Ravi Kishan | Atul Mathur","Shammi Chhabra","0",1
"396","Luv Shuv Tey Chicken Khurana","02-Nov-12","1.25","5.75","7.8","9","tt2186933","#N/A",2012,"02-Nov-12","Comedy","Sumit Batheja | Sameer Sharma","Kunal Kapoor | Huma Qureshi | Vinod Nagpal | Rajesh Sharma","Sameer Sharma","0",2
"397","Maa Tujhhe Salaam","25-Jan-02","1.71","4.9","7.72","13.32","tt0307116","#N/A",2002,"25-Jan-02","Action | Drama","Ravi Shankar Jaiswal (additional dialogue) | Tinnu Verma (story)","Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma","Tinnu Verma","0",3
"398","Maazii","27-Sep-13","N.A.","N.A.","0.1","0.13","tt2554042","#N/A",2013,"27-Sep-13","Thriller","Sumit Nijhawan | Shirish Sharma","Mohammed Zeeshan Ayyub | Ashok Banthia | Devender Chaudhary | Manish Chaudhary","Jaideep Chopra","0",1
"399","Machhli Jal Ki Rani Hai","13-Jun-14","N.A.","N.A.","1.08","1.35","tt2208248","#N/A",2014,"13-Jun-14","Horror","N/A","Swara Bhaskar | Reema Debnath | Saurabh Dubey | Hritu","Debaloy Dey","0",1
"400","Madras Cafe","23-Aug-13","5.23","21.01","33.81","42.67","tt2855648","#N/A",2013,"23-Aug-13","Action | Drama | History","Shubhendu Bhattacharya (story) | Juhi Chaturvedi (dialogue) | Somnath Dey (story) | Dusan Tolmac (additional screenplay) | Dusan Tolmac (script consultant)","John Abraham | Nargis Fakhri | Rashi Khanna | Avijit Dutt","Shoojit Sircar","0",4
"401","Mahabharat","27-Dec-13","0N.A","0N.A","1.29","1.36","tt3415692","#N/A",2013,"25-Dec-13","Animation | Action","Amaan Khan (screenplay) | Amjad Sheikh (dialogue)","Amitabh Bachchan | Ajay Devgn | Vidya Balan | Sunny Deol","Amaan Khan","0",1
"402","Main Aur Mr. Riight","12-Dec-14","0.04","0.15","0.29","0.33","tt2216852","#N/A",2014,"12-Dec-14","Comedy | Romance","N/A","Barun Sobti | Shenaz Treasury | Kavi Shastri | Danny Sura","Adeeb Rais","0",1
"403","Main Aurr Mrs Khanna","16-10-2009","1.64","4.42","6.86","7.4","tt1174041","#N/A",2009,"16-Oct-09","Comedy | Drama","Arun Bhairav (lyrics) | Suzanne D'Mello (lyrics) | Jalees Sherwani (lyrics) | Prem Soni (screenplay) | Junaid Wasi (lyrics)","Kareena Kapoor | Salman Khan | Sohail Khan | Yash Tonk","Prem Soni","0",1
"404","Main Prem Ki Diwani Hoon","27-06-2003","1.24","3.81","6.77","17.8","tt0265148","#N/A",2003,"27-Jun-03","Musical | Drama | Romance","Sooraj R. Barjatya","Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever","Sooraj R. Barjatya","0",2
"405","Main Tera Hero","04-Apr-14","6.6","22.73","38.48","50.6","tt2762334","#N/A",2014,"04-Apr-14","Action | Comedy | Romance","Tushar Hiranandani (story) | Milap Zaveri (dialogue)","Salman Khan | Ileana | Anupam Kher | Varun Dhawan","David Dhawan","0",5
"406","Maine Dil Tujhko Diya","23-Aug-02","0.85","2.46","3.86","6.4","tt0326600","#N/A",2002,"23-Aug-02","Romance | Action | Drama","Ranjeet Gupta (staff writer)","Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi","Sohail Khan","0",2
"407","Maine Pyaar Kyun Kiya","15-07-2005","2.4","6.95","11.56","25.69","tt0451803","#N/A",2005,"15-Jul-05","Comedy | Drama | Romance","Sanjay Chhel (dialogues) | Rumi Jaffery (screenplay) | Sameer (lyrics)","Salman Khan | Sushmita Sen | Katrina Kaif | Sohail Khan","David Dhawan","0",5
"408","Malamaal Weekly","10-Mar-06","1.73","5.91","10.26","26.89","tt0476805","#N/A",2006,"10-Mar-06","Comedy | Drama | Romance","Manisha Korde (dialogue) | Priyadarshan (screenplay) | Priyadarshan (story) | Chandu Shah (story)","Paresh Rawal | Om Puri | Ritesh Deshmukh | Reema Sen","Priyadarshan","0",7
"409","Mallika","03-09-2010","0N.A","0N.A","0N.A","1.01","tt1929309","#N/A",2010,"03-Sep-10","Drama | Horror | Mystery","Alok Mishra (additional screenplay & dialogue) | A. Sammeer | B. Viveck","Anirudh Agarwal | Puja Ballutia | Sammir Dattani | Dunger","Wilson Louis","0",1
"410","Manjunath","09-May-14","0.2","0N.A","1","1","tt3056632","#N/A",2014,"09-May-14","Drama","N/A","Anjori Alagh | Karan Ashar | Asif Basra | Seema Biswas","Sandeep A. Varma","0",1
"411","Mardaani","22-Aug-14","3.46","14.46","22.97","35.82","tt3495000","#N/A",2014,"22-Aug-14","Action | Drama | Thriller","Gopi Puthran","Rani Mukerji | Tahir Raj Bhasin | Gautam Babbar | Probir Dutt","Pradeep Sarkar","0",4
"412","Market","12-09-2003","0.32","0.99","1.58","2.81","tt0381408","#N/A",2003,"12-Sep-03","Drama | Musical","Miraq Mirza (screenplay) | Arshad Sidhiqi (story)","Manisha Koirala | Suman Ranganathan | Aryan Vaid | Shweta Menon","Jay Prakash","0",3
"413","Mary Kom","05-Sep-14","8.4","30.6","46","56.5","tt3001638","#N/A",2014,"05-Sep-14","Biography | Drama | Sport","Saiwyn Qadras (story) | Ramendra Vasishth (dialogue) | Karan Singh Rathore (dialogue)","Priyanka Chopra | Zachary Coffin | Darshan Kumaar | Darshan Kumar","Omung Kumar","0",5
"414","Mausam","23-09-2011","0N.A","20.75","28.49","29.75","tt1627924","#N/A",2011,"23-Sep-11","Drama | Romance","Carl Austin (story) | Pankaj Kapur (screenplay)","Shahid Kapoor | Sonam Kapoor | Anupam Kher | Supriya Pathak","Pankaj Kapur","0",2
"415","Maximum","29-Jun-12","N.A.","2","2.55","2.58","tt2339549","#N/A",2012,"29-Jun-12","Crime | Thriller","Kabeer Kaushik (screenplay)","Mohan Agashe | Arya Babbar | Neha Dhupia | Rajendra Gupta","Kabeer Kaushik","0",1
"416","Meinu Ek Ladki Chaahiye","26-Sep-14","N.A.","N.A.","0.07","0.07","tt3169676","#N/A",2014,"26-Sep-14","Drama","Abhishek | Sekhar Kochgaven","Raghuvir Yadav | Zakir Hussain | Yatin Karyekar | Irfan Raza Khan","Abhishek Bindal","0",1
"417","Men Will Be Men","29-04-2011","N.A.","N.A.","N.A.","0.19","tt1907721","#N/A",2011,"29-Apr-11","Comedy","Harsh Khurana","Gaurav Chopra | Zeenal Kamdar | Rajesh Khattar | Rohit Khuranna","Gorky","0",1
"418","Mere Baap Pehle Aap","13-Jun-08","2.77","9.96","15.27","22.71","tt1170404","#N/A",2008,"13-Jun-08","Comedy | Drama | Romance","Manisha Korde (dialogue) | Priyadarshan (story) | Kalavur Ravikumar (story) | Sameer (lyrics)","Paresh Rawal | Akshaye Khanna | Genelia D'Souza | Om Puri","Priyadarshan","0",3
"419","Mere Brother Ki Dulhan","09-09-2011","7.4","25.9","38.99","58.7","tt1740710","#N/A",2011,"09-Sep-11","Comedy | Drama | Romance","Ali Abbas Zafar","Imran Khan | Katrina Kaif | Ali Zafar | Tara D'Souza","Ali Abbas Zafar","0",6
"420","Mere Dad Ki Maruti","15-Mar-13","1.03","4.59","8.09","12.54","tt2323964","#N/A",2013,"15-Mar-13","Comedy","Ashima Chibber (screenplay) | Pooja Desai (screenplay) | Ishita Moitra (dialogue) | Neeraj Udhwani (screenplay) | Neeraj Udhwani (story)","Saqib Saleem | Rhea Chakraborty | Ram Kapoor | Prabal Panjabi","Ashima Chibber","0",3
"421","Mere Jeevan Saathi","03-Feb-06","0.4","1.13","1.69","2.42","tt0418880","#N/A",2006,"03-Feb-06","Music | Romance","Suneel Darshan (story) | Robin Bhatt (screenplay) | K.K. Singh (dialogue) | Ravi Shankar Jaiswal (additional dialogue)","Akshay Kumar | Karisma Kapoor | Ameesha Patel | Gulshan Grover","Suneel Darshan","0",1
"422","Mere Yaar Ki Shaadi Hai","07-Jun-02","0.52","1.61","3.04","8.34","tt0322653","#N/A",2002,"07-Jun-02","Comedy | Drama | Musical","Sanjay Gadhvi | Mayur Puri (dialogue) | Mayur Puri (screenplay)","Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu","Sanjay Gadhvi","0",5
"423","Mickey Virus","25-Oct-13","1.35","4.75","7.1","7.66","tt2796318","#N/A",2013,"25-Oct-13","Comedy | Thriller","Elvin Raja (script co-writer) | Kuldeep Ruhil (script consultant & dialogue) | Saurabh Varma (screenplay)","Manish Paul | Dean Alexandrou | Elli Avram | Varun Badola","Saurabh Varma","0",2
"424","Milenge Milenge","09-07-2010","2.24","7.54","10.45","11","tt0443331","#N/A",2010,"09-Jul-10","Drama | Romance","Shiraz Ahmed (dialogue) | Shiraz Ahmed (story)","Kareena Kapoor | Shahid Kapoor | Aarti Chhabria | Delnaaz Irani","Satish Kaushik","0",2
"425","Mirch","17-12-2010","N.A.","N.A.","N.A.","0.89","tt1388903","#N/A",2010,"22-Oct-10","Comedy | Drama | Fantasy","Javed Akhtar (lyrics) | Vinay Shukla (story)","Arunoday Singh | Boman Irani | Ila Arun | Konkona Sen Sharma","Vinay Shukla","0",1
