ï..Movie.Name,Release.Date,Opening.Day,Opening.Weekend,End.of.Week.1,Lifetime..India.Only..Net.Collection.Crores.in.Release.Year.
Shortcut Romeo,21-Jun-13,0.25,0N.A,2.25,2.58
Shootout At Wadala,03-May-13,10.1,30.7,46,60.18
Ship Of Theseus,19-Jul-13,0.05,0.25,0.48,0.48
Shahid,18-Oct-13,0.45,2.05,3.15,3.607
Satyagraha,30-Aug-13,11.21,39.12,55.43,63.74
Satya 2,08-Nov-13,0.45,1.2,1.88,1.98
Saheb Biwi Aur Gangster Returns,08-Mar-13,3.5,12.75,18.25,21.95
Saare Jahaan Se Mehnga,08-Mar-13,N.A.,N.A.,0.73,0.84
R… Rajkumar,06-Dec-13,10.2,30.59,47.05,66.1
Rise Of The Zombie,05-Apr-13,0N.A,0N.A,0N.A,0.31
Raqt – Ek Rishta,27-Sep-13,0N.A,0N.A,0.14,0.24
Rangrezz,21-Mar-13,1,4,6,6.37
Ramaiya Vastavaiya,19-Jul-13,4.1,15.3,26.85,36.3
Rajjo,15-Nov-13,0.3,0N.A,1.51,1.73
Rajdhani Express,04-Jan-13,N.A.,N.A.,0.33,0.35
Race 2,25-Jan-13,15.12,51.35,76.1,100.45
Rabba Main Kya Karoon,02-Aug-13,0.18,0.78,1.09,1.09
Raanjhanaa,21-Jun-13,5.12,20.08,33.93,60.35
Pyaar Mein Aisa Hota Hai,11-Jan-13,N.A.,N.A.,N.A.,0.01
Prague,27-Sep-13,0N.A,0N.A,0.07,0.07
Policegiri,05-Jul-13,3.25,8.9,13.67,16.81
Phata Poster Nikhla Hero,20-Sep-13,6,21.25,31.5,36.53
Paapi – Ek Satya Katha,11-Oct-13,N.A,N.A,0N.A,0.05
Ooops a Desi,23-Aug-13,0N.A,0N.A,0N.A,0.01
Once Upon Ay Time In Mumbai Dobaara!,15-Aug-13,11.25,40,53,61
Nautanki Saala!,12-Apr-13,3.25,13.25,19,21.7
Nasha,26-Jul-13,0.74,3.2,3.5,3.86
My Husband’s Wife,09-Aug-13,0N.A,0N.A,0N.A,0.026
Murder Plan,19-Apr-13,N.A.,N.A.,N.A.,0.013
Murder 3,15-Feb-13,4.52,13.31,20.95,22.88
Mumbai Mirror,18-Jan-13,N.A.,N.A.,1.57,1.83
Mickey Virus,25-Oct-13,1.35,4.75,7.1,7.66
Meri Shadi Karao,04-Jan-13,N.A.,N.A.,0.06,0.06
Mere Dad Ki Maruti,15-Mar-13,1.03,4.59,8.09,12.54
Matru Ki Bijlee Ka Mandola,11-Jan-13,7.02,22.42,33.17,41
Mai…,01-Feb-13,0N.A,0N.A,0.08,0.08
Main Krishna Hoon,25-Jan-13,N.A.,N.A.,0.29,0.29
Mai To Hu Hi Ulta,26-Apr-13,N.A.,N.A.,N.A.,N.A.
Mahabharat,27-Dec-13,0N.A,0N.A,1.29,1.36
Madras Cafe,23-Aug-13,5.23,21.01,33.81,42.67
Maazii,27-Sep-13,N.A.,N.A.,0.1,0.13
Luv U Soniyo,26-Jul-13,0.4,2.1,2.7,2.7
Lootera,05-Jul-13,5.15,19,27.3,29
Listen… Amaya,01-Feb-13,N.A.,N.A.,0.07,0.07
Life Mein Hungama Hai,26-Apr-13,N.A.,N.A.,0.05,0.05
Lakeer Ka Fakeer,14-Jun-13,0N.A,0N.A,0N.A,0.02
Krrish 3,01-Nov-13,25.5,72.8,166.52,244.92
Kai Po Che!,22-Feb-13,4.5,18.1,29.5,49.67
Jolly L.L.B.,15-Mar-13,3.12,12.51,19.52,32.71
John Day,13-Sep-13,0.45,1.5,0N.A,1.59
Jayanta Bhai Ki Luv Story,15-Feb-13,0.5,2.5,0N.A,4
Jackpot,13-Dec-13,1.25,3,4.97,5.23
Issaq,26-Jul-13,0.78,2.5,4,4
Ishkq In Paris,24-May-13,N.A.,1.25,1.84,1.87
Ishk Actually,25-Oct-13,0.08,0N.A,0.32,0.34
Inkaar,18-Jan-13,1.75,6.35,9.5,9.5
"I, Me Aur Main",01-Mar-13,N.A.,5.4,7.9,8.75
I Don’t Luv U,17-May-13,N.A.,N.A.,0.34,0.45
Hum Hai Raahi CAR Ke,24-May-13,0N.A,0.5,0.69,0.72
Huff! – It’s Too Much,08-Nov-13,N.A.,N.A.,N.A.,0.02
Horror Story,13-Sep-13,0.79,2.86,4.94,4.94
Himmatwala,29-Mar-13,12.1,31.1,0N.A,47.45
Grand Masti,13-Sep-13,12.51,40.18,67.4,102
Gori Tere Pyaar Mein!,22-Nov-13,2.75,9.5,12.15,16.32
Goliyon Ki Raasleela Ram-leela,15-Nov-13,16,52.75,82.15,116.33
Go Goa Gone,10-May-13,3.75,12.9,19.92,25.16
Gippi,10-May-13,0.75,3,4.5,4.5
Ghanchakkar,28-Jun-13,7.2,22.3,31.6,34
Gangoobai,11-Jan-13,N.A.,N.A.,N.A.,0.01
Fukrey,14-Jun-13,2.62,9.82,18.42,36.5
Four Two Ka One,10-May-13,N.A.,N.A.,0.03,0.03
Enemmy – Law And Disorder,21-Jun-13,0.35,0N.A,1.5,1.71
Ek Thi Daayan,19-Apr-13,6.24,18.07,25.8,25.8
Dilli Gang,25-Oct-13,N.A.,N.A.,0.058,0.065
Dhoom 3,20-Dec-13,36.22,107.61,188.99,284.27
Dekha Jo Pehli Baar,04-Jan-13,N.A.,N.A.,N.A.,N.A.
Dehraadun Diary,04-Jan-13,N.A.,N.A.,0.33,0.35
Deewana Main Deewana,01-Feb-13,0N.A,0N.A,0.06,0.12
David,01-Feb-13,0.69,2.41,3.75,3.75
D-Day,19-Jul-13,2.94,13.69,24,24
Commando – A One Man Army,12-Apr-13,3.69,11.18,17.5,21.47
Club 60,06-Dec-13,N.A.,N.A.,0.32,0.42
Chor Chor Super Chor,02-Aug-13,N.A.,N.A.,0.07,0.07
Chhota Bheem and the throne of Bali,03-May-13,N.A.,N.A.,2.3,4.33
Chennai Express,09-Aug-13,33.12,100.42,156.7,227.13
Chehra,26-Apr-13,N.A.,N.A.,0.02,0.038
Chashme Baddoor,05-Apr-13,5.18,19.2,30,41.68
Calapor,02-Aug-13,N.A.,N.A.,0.05,0.05
Bullett Raja,29-Nov-13,7.5,23.3,34.91,36.24
Boss,16-Oct-13,12.75,40.75,45.55,54.15
Bombay Talkies,03-May-13,1.3,5.05,7.5,8.49
Bloody Isshq,01-Mar-13,N.A.,N.A.,0.06,0.07
Bin Phere Free Me Ttere,03-May-13,N.A.,N.A.,0.03,0.03
Bhadaas,27-Dec-13,N.A.,N.A.,0.09,0.1
Bhaag Milkha Bhaag,12-Jul-13,8.65,32.3,52.44,108.93
Besharam,02-Oct-13,21.56,47.69,52.1,59.79
Beehad – The Ravines,17-May-13,N.A.,N.A.,N.A.,0.24
Bas Ek Tamanna,09-Aug-13,N.A.,N.A.,N.A.,0.016
Bandook,18-Jan-13,N.A.,N.A.,0.08,0.096
Bajatey Raho,26-Jul-13,1.2,4.25,6.3,6.37
Baat Bann Gayi,11-Oct-13,N.A.,N.A.,0.11,0.15
B.A. Pass,02-Aug-13,1,4,5.9,8.4
Aurangzeb,17-May-13,3.92,12.86,19.6,22.35
Ankur Arora Murder Case,14-Jun-13,0.12,1.05,0N.A,1.05
Amdavad Junction,25-Oct-13,N.A.,N.A.,0.038,0.039
AkaashVani,25-Jan-13,0N.A,0N.A,1.92,2.11
ABCD – Any Body Can Dance,08-Feb-13,5.5,19.5,32.2,45.5
Aatma,22-Mar-13,N.A.,N.A.,N.A.,8.78
Aashiqui 2,26-Apr-13,6.25,20.5,38.4,78.42
3G,15-Mar-13,1.1,3.62,5.82,5.91
2 Little Indians,19-Apr-13,N.A.,N.A.,N.A.,0.021
Ugly,26-Dec-14,0.4,1.65,3.34,6.23
PK,19-Dec-14,26.63,95.41,183.09,340.8
Room – The Mystery,12-Dec-14,N.A.,N.A.,0.01,0.01
Life Mein Twist Hai,12-Dec-14,0N.A,0N.A,0.01,0.02
Main Aur Mr. Riight,12-Dec-14,0.04,0.15,0.29,0.33
LUV…..Phir Kabhie,12-Dec-14,N.A.,N.A.,0.02,0.02
Kaash Tum Hote,12-Dec-14,N.A.,N.A.,0.02,0.05
Badlapur Boys,12-Dec-14,0.14,0.43,0.76,0.89
Bhopal: A Prayer For Rain,05-Dec-14,0N.A,0N.A,1.11,1.36
Action Jackson,05-Dec-14,10.25,29.25,45.16,57.78
Zid,28-Nov-14,2.82,8.68,14.08,14.08
Sulemani Keeda,28-Nov-14,0N.A,0N.A,0.11,0.16
Zed Plus,28-Nov-14,N.A.,N.A.,0.47,0.47
Ungli,28-Nov-14,3.6,12.8,19.15,19.47
Darr Ke Aage Jeet Hai,21-Nov-14,N.A,N.A,0.02,0.02
Gollu Aur Pappu,21-Nov-14,N.A,N.A,0.01,0.01
The Real Dream Girl,21-Nov-14,N.A,N.A,0.01,0.01
Happy Ending,21-Nov-14,3.75,13,19.05,19.44
Titoo MBA,21-Nov-14,N.A,N.A,0.1,0.1
Kill Dil,14-Nov-14,6.53,20.18,29.28,33.14
Money Back Gurantee,14-Nov-14,N.A,N.A,0.05,0.05
6-5=2,14-Nov-14,0.1,N.A.,0.71,0.71
The Shaukeens,07-Nov-14,5.12,18.52,18.88,28
Chaar Sahibzaade,07-Nov-14,N.A.,N.A.,3.5,33.17
Rang Rasiya / Colors of Passion,07-Nov-14,0.63,2.31,3.89,4.8
Super Nani,31-Oct-14,0.5,1.42,2.52,2.61
Roar – Tigers Of The Sunderbans,31-Oct-14,1.6,5,7.68,8.68
C.D. Kand,24-Oct-14,N.A.,N.A.,0N.A,0.03
Happy New Year,24-Oct-14,44.97,108.86,157.57,203
Gurjar Aandolan,17-Oct-14,0N.A,0N.A,0.01,0.01
Sonali Cable,17-Oct-14,0.14,0.45,0.81,0.91
Mumbai 125 KM,17-Oct-14,0.34,1.12,1.47,1.65
Jigariyaa,10-Oct-14,0.02,0.07,0.16,0.16
Tamanchey,10-Oct-14,0.22,0.66,1.3,1.46
Ekkees Toppon Ki Salaami,10-Oct-14,0.22,0.83,1.4,1.58
Spark,10-Oct-14,0.03,0.05,0.09,0.09
Bang Bang!,02-Oct-14,27.54,94.13,135.45,181.03
Haider,02-Oct-14,6.14,26.78,41,56.09
Ladies First,02-Oct-14,N.A.,N.A.,0.01,0.01
Meinu Ek Ladki Chaahiye,26-Sep-14,N.A.,N.A.,0.07,0.07
Chaarfutiya Chhokare,26-Sep-14,0.04,0.1,0.21,0.21
3 A.M.,26-Sep-14,0.28,1.2,1.8,1.84
Balwinder Singh… Famous Ho Gaya,26-Sep-14,0.1,0.28,0.53,0.54
Desi Kattey,26-Sep-14,0.55,1.75,2.92,2.98
Khoobsurat,19-Sep-14,2.74,11.53,19.11,24.75
Daawat-e-Ishq,19-Sep-14,3.72,13.6,20.43,25.5
Finding Fanny,12-Sep-14,5.1,19.9,28.09,35.91
Creature,12-Sep-14,3.24,11.36,17.7,17.7
Mary Kom,05-Sep-14,8.4,30.6,46,56.5
Raja Natwarlal,29-Aug-14,6.1,17.4,25.88,26.83
Identity Card,29-Aug-14,N.A.,N.A.,0.01,0.02
Mardaani,22-Aug-14,3.46,14.46,22.97,35.82
Mad About Dance,22-Aug-14,0N.A,0N.A,0.18,0.2
Trip to Bhangarh,22-Aug-14,N.A.,N.A.,0.12,0.14
Katiyabaaz,22-Aug-14,N.A.,N.A.,0.09,0.1
Life Is Beautiful!,22-Aug-14,N.A.,N.A.,0.04,0.04
Singham Returns,15-Aug-14,32.09,77.69,112.59,140.62
Entertainment,08-Aug-14,11.16,36.69,56.5,72.02
Lateef: The King Of Crime,01-Aug-14,N.A.,N.A.,0.05,0.06
Kick,25-Jul-14,26.4,83.83,164.09,231.85
Riyasat,18-Jul-14,0N.A,0N.A,0.01,0.01
Aaj Ka Fashion Trend,18-Jul-14,N.A,N.A.,0.01,0.01
Amit Sahni Ki List,18-Jul-14,0.69,2.83,4.36,4.36
Pizza,18-Jul-14,0.75,2.91,4.22,4.25
Bazaar-E-Husn,18-Jul-14,N.A.,N.A.,0.01,0.01
Hate Story 2,18-Jul-14,5.46,15.85,25.6,27.16
Munna Mange Memsaab,11-Jul-14,N.A.,N.A.,0.02,0.02
Humpty Sharma Ki Dulhania,11-Jul-14,9.02,33.74,53.31,76.81
Bollywood Villa,11-Jul-14,N.A.,N.A.,N.A.,0.02
Lekar Hum Deewana Dil,04-Jul-14,0.5,1.6,2.4,2.49
Bobby Jasoos,04-Jul-14,1.79,7.68,10.83,11.74
Ek Villain,27-Jun-14,16.72,50.7,77.2,105.62
Humshakals,20-Jun-14,12.5,40.13,56.35,63.72
Guardians,20-Jun-14,N.A.,N.A.,0.01,0.01
The Untold Story Aahinsa,20-Jun-14,N.A.,N.A.,0.01,0.01
Chal Bhaag,13-Jun-14,0N.A,0N.A,0.05,0.07
Nari Teri Shakti Anokhi,13-Jun-14,N.A.,N.A.,0.01,0.01
Machhli Jal Ki Rani Hai,13-Jun-14,N.A.,N.A.,1.08,1.35
Unforgettable,13-Jun-14,N.A.,N.A.,0.02,0.02
18.11 (A code of Secrecy…!),13-Jun-14,N.A.,N.A.,0.012,0.012
Fugly,13-Jun-14,2.95,9.34,11.57,12.28
Holiday – A Soldier Is Never Off Duty,06-Jun-14,12.18,41.32,68.65,112.45
Filmistaan,06-Jun-14,0.51,2.81,4.91,6.28
Kuku Mathur Ki Jhand Ho Gayi,30-May-14,0.33,1.32,2.07,2.15
Citylights,30-May-14,0.7,3.57,6,8.51
Heropanti,23-May-14,6.63,21.33,35.91,52.92
Mighty Raju – Rio Calling,16-May-14,0N.A,0N.A,0.76,1.18
The Xpose,16-May-14,2.97,10.97,18.61,22.77
M3-Midsummer Midnight Mumbai,16-May-14,0N.A,0N.A,0.25,0.25
Children of War,16-May-14,0N.A,0N.A,0.61,0.62
Hawaa Hawaai,09-May-14,0.8,4.25,7.7,10.42
Mastram,09-May-14,0.5,2.08,3.25,3.35
Manjunath,09-May-14,0.2,0N.A,1,1
Khwaabb,09-May-14,0.2,0N.A,0.75,0.75
Yeh Hai Bakrapur,09-May-14,0.2,N.A.,0.7,0.7
Koyelaanchal,09-May-14,0.45,1.42,2.15,2.25
Kya Dilli Kya Lahore,02-May-14,0.08,0.22,0.69,0.69
Purani Jeans,02-May-14,0.32,1.1,1.17,1.19
Angry Young Man,01-May-14,0N.A,0N.A,0.02,0.02
Kahin Hai Mera Pyar,01-May-14,N.A.,N.A.,0.07,0.07
Samrat & Co.,25-Apr-14,0.23,0.82,1.26,1.29
Revolver Rani,25-Apr-14,1.5,6.5,8.45,10.34
Kaanchi…,25-Apr-14,0.75,2.36,3.77,3.9
Lucky Kabootar,18-Apr-14,N.A.,N.A.,0.22,0.27
Dekh Tamasha Dekh,18-Apr-14,N.A.,N.A.,0.15,0.18
2 States,18-Apr-14,12.42,38.06,60.73,102.13
Bhoothnath Returns,11-Apr-14,4.07,18.02,30.14,39.54
Main Tera Hero,04-Apr-14,6.6,22.73,38.48,50.6
Jal,04-Apr-14,0.1,0.5,0.55,0.55
Honour Killing,04-Apr-14,N.A.,N.A.,0.15,0.15
Ebn-e-Batuta,04-Apr-14,N.A.,N.A.,0.01,0.01
Dishkiyaoon,28-Mar-14,1.03,3.5,4.97,5.23
Station,28-Mar-14,N.A.,N.A.,0.19,0.19
Youngistaan,28-Mar-14,0.98,4,6.13,6.91
O Teri,28-Mar-14,0.9,2.25,3.3,3.46
Ankhon Dekhi,21-Mar-14,0N.A,0N.A,0.64,0.74
Gang of Ghosts,21-Mar-14,N.A.,N.A.,1.55,1.7
Lakshmi,21-Mar-14,0N.A,0N.A,0.18,0.18
Ragini MMS – 2,21-Mar-14,8.43,24.5,39.38,45.99
Bewakoofiyaan,14-Mar-14,2.23,7.31,12.77,14.01
Neighbours,14-Mar-14,0N.A,0N.A,0.07,0.07
W,14-Mar-14,N.A.,N.A.,0.04,0.04
Total Siyapaa,07-Mar-14,1.11,4.09,5.77,5.94
Gulaab Gang,07-Mar-14,2.41,8.84,12.54,14.58
Queen,07-Mar-14,1.8,10,18.8,61
Shaadi Ke Side Effects,28-Feb-14,5.7,34.23,30.83,37.36
Anuradha,28-Feb-14,N.A.,N.A.,N.A.,0.015
Highway,21-Feb-14,3.42,13.97,22.38,30.61
Dee Saturday Night,21-Feb-14,N.A.,N.A.,0.35,0.37
Darr @The Mall,21-Feb-14,1.1,3.8,4.8,4.95
Gunday,14-Feb-14,16.12,43.93,63.08,78.6
Babloo Happy Hai,07-Feb-14,N.A.,N.A.,0.23,0.29
Hasee Toh Phasee,07-Feb-14,4.65,18.4,28.55,37.4
Ya Rab,07-Feb-14,0N.A,0N.A,0.17,0.23
Heartless,07-Feb-14,N.A.,0.75,1.08,1.19
One By Two,31-Jan-14,0.6,1.91,2.59,2.63
Jai Ho,24-Jan-14,17.75,60.68,88.78,116
Miss Lovely,17-Jan-14,0.15,0.49,0N.A,0.49
Karle Pyaar Karle,17-Jan-14,0.3,0.7,1.17,1.24
Strings Of Passion,17-Jan-14,N.A.,N.A.,0.01,0.01
Paranthe Wali Gali,17-Jan-14,0.05,0.15,N.A.,0.15
Dedh Ishqiya,10-Jan-14,3,12,19.64,27.5
Yaariyan,10-Jan-14,5.75,19.2,31.5,40.14
Sholay 3D,03-Jan-14,1.5,6.3,8.43,11.39
Mr Joe B. Carvalho,03-Jan-14,0.65,2,2.95,3.08
